DateTime,BPM,Target,RHR,steps
2022-06-25 01:24:12,100,0,71,5
2022-06-25 01:24:17,102,0,71,42
2022-06-25 01:24:52,97,0,71,26
2022-06-25 01:24:57,94,0,71,11
2022-06-25 01:26:07,92,0,71,43
2022-06-25 01:26:17,93,0,71,50
2022-06-25 01:26:22,94,0,71,7
2022-06-25 01:26:27,94,0,71,8
2022-06-25 01:26:42,96,0,71,11
2022-06-25 01:26:47,95,0,71,3
2022-06-25 01:27:17,99,0,71,17
2022-06-25 01:27:27,94,0,71,17
2022-06-25 01:27:52,90,0,71,16
2022-06-25 01:28:42,93,0,71,6
2022-06-25 01:28:47,94,0,71,10
2022-06-25 01:28:52,92,0,71,8
2022-06-25 01:29:22,92,0,71,24
2022-06-25 01:29:57,93,0,71,9
2022-06-25 01:30:03,93,0,71,14
2022-06-25 01:30:28,92,0,71,9
2022-06-25 01:30:53,88,0,71,9
2022-06-25 01:30:58,87,0,71,49
2022-06-25 01:31:03,90,0,71,45
2022-06-25 01:32:03,88,0,71,13
2022-06-25 01:32:08,86,0,71,0
2022-06-25 01:32:13,87,0,71,0
2022-06-25 01:32:23,89,0,71,41
2022-06-25 01:32:33,92,0,71,62
2022-06-25 01:32:38,93,0,71,37
2022-06-25 01:32:48,94,0,71,31
2022-06-25 01:32:53,93,0,71,51
2022-06-25 01:33:13,94,0,71,106
2022-06-25 01:33:23,93,0,71,103
2022-06-25 01:33:48,92,0,71,93
2022-06-25 01:33:53,92,0,71,39
2022-06-25 01:33:58,93,0,71,23
2022-06-25 01:34:28,88,0,71,11
2022-06-25 01:34:43,87,0,71,18
2022-06-25 01:34:53,90,0,71,10
2022-06-25 01:35:13,91,0,71,33
2022-06-25 01:35:28,91,0,71,13
2022-06-25 01:35:43,91,0,71,31
2022-06-25 01:35:53,94,0,71,5
2022-06-25 01:36:33,85,0,71,0
2022-06-25 01:36:48,85,0,71,30
2022-06-25 01:36:53,86,0,71,12
2022-06-25 01:37:08,88,0,71,8
2022-06-25 01:37:14,88,0,71,6
2022-06-25 01:37:19,89,0,71,11
2022-06-25 01:37:34,90,0,71,13
2022-06-25 01:37:39,91,0,71,15
2022-06-25 01:37:54,98,0,71,13
2022-06-25 01:38:19,100,0,71,37
2022-06-25 01:38:34,102,0,71,9
2022-06-25 01:38:44,104,0,71,12
2022-06-25 01:41:02,105,0,71,14
2022-06-25 01:41:22,98,0,71,6
2022-06-25 01:41:27,97,0,71,22
2022-06-25 01:41:52,98,0,71,11
2022-06-25 01:42:57,100,0,71,38
2022-06-25 01:44:42,93,0,71,11
2022-06-25 01:45:07,95,0,71,28
2022-06-25 01:45:58,94,0,71,6
2022-06-25 01:46:23,95,0,71,17
2022-06-25 01:47:03,86,0,71,9
2022-06-25 01:47:08,83,0,71,0
2022-06-25 01:47:13,84,0,71,6
2022-06-25 01:47:38,87,0,71,16
2022-06-25 01:48:08,91,0,71,23
2022-06-25 01:48:33,86,0,71,14
2022-06-25 01:48:38,85,0,71,27
2022-06-25 01:49:08,89,0,71,9
2022-06-25 01:49:13,88,0,71,17
2022-06-25 01:49:18,87,0,71,7
2022-06-25 01:49:23,89,0,71,18
2022-06-25 01:49:33,90,0,71,12
2022-06-25 01:49:48,90,0,71,18
2022-06-25 01:49:53,88,0,71,36
2022-06-25 01:50:23,88,0,71,18
2022-06-25 01:50:33,87,0,71,22
2022-06-25 01:50:48,87,0,71,6
